GID_2,NAME_2,Latitude,Longitude
VNM.25.1_1,Bình Chánh,10.75275,106.515477
VNM.25.2_1,Bình Tân,10.7721,106.600098
VNM.25.3_1,Bình Thạnh,10.81155,106.703914
VNM.25.4_1,Cần Giờ,10.51455,106.8785
VNM.25.5_1,Củ Chi,11.03755,106.502384
VNM.25.6_1,Gò Vấp,10.83605,106.672335
VNM.25.7_1,Hóc Môn,10.8774,106.575786
VNM.25.8_1,Nhà Bè,10.6521,106.724948
VNM.25.9_1,Phú Nhuận,10.80125,106.679865
VNM.25.13_1,Quận 1,10.7758,106.700398
VNM.25.10_1,Quận 10,10.7718,106.668185
VNM.25.11_1,Quận 11,10.76565,106.647585
VNM.25.12_1,Quận 12,10.86365,106.664039
VNM.25.14_1,Quận 2,10.7803,106.748398
VNM.25.15_1,Quận 3,10.78035,106.686283
VNM.25.16_1,Quận 4,10.7612,106.707085
VNM.25.17_1,Quận 5,10.75495,106.668795
VNM.25.18_1,Quận 6,10.7409,106.634463
VNM.25.19_1,Quận 7,10.73885,106.729449
VNM.25.20_1,Quận 8,10.72195,106.62961
VNM.25.21_1,Quận 9,10.8329,106.815142
VNM.25.22_1,Tân Bình,10.80345,106.652265
VNM.25.23_1,Tân Phú,10.797,106.625489
VNM.25.24_1,Thủ Đức,10.85385,106.74885
